lowercase,forms,if_interesting,
'patience,'Patience,0,
'greater,'greater 'Greater,0,
was—',was—',0,
ladies',ladies',0,
'desecrate,'desecrate,0,
bond',bond',0,
i'm—i’m,I'm—I’m,0,
cuisine',cuisine',0,
write',write',0,
'until,'until 'Until 'UNTIL,0,
thoughts',thoughts',0,
tonight',tonight',0,
'guilty,'guilty 'Guilty,0,
pleasure',pleasure',0,
snake',snake',0,
'fucking,'Fucking 'fucking,0,
are',are',0,
lived',lived',0,
'dead,'Dead 'dead,0,
i'vve,I'vve,1,
flies',flies',0,
'mnot,'mnot 'Mnot,1,
it'ss,it'ss,0,
o'connell,O'Connell,0,
creators',creators',0,
'rubbing,'rubbing,0,
other',other',0,
angels—they're,angels—they're,0,
worked—i'm,worked—I'm,0,
'evolving,'evolving,0,
relationship',relationship',0,
'appy,'appy,1,
wha',wha',1,
wan'ed,wan'ed,1,
wan',wan',1,
don't-laugh-don't-laugh,don't-laugh-don't-laugh,0,
l'escargot,L'Escargot,0,
l'addition,L'addition,0,
s'il,s'il S'il,0,
five-o'-clock,five-o'-clock,0,
'neath,'neath 'Neath,1,
m'kay,M'kay m'kay,1,
can't-i,can't-I,1,
sheeps',sheeps',0,
companion',companion',0,
'heretical,'heretical,0,
beliefs',beliefs',0,
'suffer,'suffer,0,
wrath',wrath',0,
d'hôtel,d'hôtel d'Hôtel,0,
'compassionately,'compassionately,0,
'gabriel,'Gabriel 'GABRIEL,0,
fellows',fellows',0,
e'en,E'en e'en,1,
'superior,'superior,0,
my'dear,my'dear,0,
bakers',bakers',0,
'fight,'Fight,0,
eyes',eyes',0,
chamomile—it's,chamomile—it's,0,
'ss,'ss 'Ss,1,
light',light',0,
forward',forward',0,
'none,'None,0,
'from,'from 'From,0,
were',were',0,
'natural,'natural,0,
order',order',0,
'antony,'Antony,0,
'belle,'Belle,0,
'wallcreeper’,'Wallcreeper’,0,
inside',inside',0,
'running,'running 'Running,0,
knife',knife',0,
'servants,'servants,0,
'pursue,'pursue,0,
later',later' LATER',0,
there're,there're,0,????
'trying,'trying 'Trying,0,
's'all,'S'all 's'all,1,
eavesdropping',eavesdropping',0,
'incorrect,'Incorrect,0,
phone',phone',0,
'sounds,'Sounds,0,
'makes,'Makes 'makes,0,
'let's,'let's 'Let's,0,
myself',myself',0,
'anything,'Anything 'ANYTHING 'anything,0,
'perfectly,'Perfectly 'perfectly,0,
'i'd,'I'd,0,
'seems,'Seems,0,
'there's,'There's 'there's,0,
'earlier,'Earlier,0,
'armageddon's,'Armageddon's,0,
'ah,'Ah 'ah,0,
'that's,'That's 'that's 'THAT'S,0,
'choose,'Choose 'choose,0,
'it'd,'It'd,0,
'bought,'Bought,0,
'they,'They 'they 'THEY,0,
'manners,'Manners,0,
man',man',0,
'wanted,'wanted 'Wanted,0,
'celestial,'celestial 'Celestial,0,
temples',temples',0,
so',so',0,
won't—can't—will,won't—can't—will,0,
'movie,'Movie 'movie,0,
'find,'find 'Find 'FIND,0,
together',together',0,
'shaun,'Shaun,0,
'gentle,'gentle,0,
courteous',courteous',0,
race',race',0,
'xcept,'xcept 'Xcept,0,1
century's-time,century's-time,0,
native',native',0,
'woe,'woe 'Woe,0,
river',river',0,
yes',yes',0,
sisters',sisters',0,
kind',kind',0,
that'sss,that'sss,1,
praise',praise',0,
'mortal,'mortal 'Mortal,0,
enemies',enemies',0,
'kay,'kay 'Kay,1,
devils',devils',0,
serpent'zz,serpent'zz,1,
that'zz,that'zz,1,
'hot,'hot 'Hot,0,
don't-i,don't-I,0,
'sssweetheart’,'sssweetheart’,1,
'could,'could 'Could,0,
'no’,'no’,0,
y'see,y'see Y'see Y'SEE,1,
'had,'had 'Had,0,
a',a',0,
'weren’t,'Weren’t 'weren’t,0,
'gentleman,'gentleman,0,
'music,'Music 'music 'MUSIC,0,
'underground,'Underground,0,
'again,'Again,0,
'ey,'Ey 'ey,1,
'notice,'Notice,0,
'less,'Less 'less,0,
'ow,'ow 'Ow,1,
s'pposed,s'pposed,1,
'aww'ed,'aww'ed,1,
herei'm,hereI'm,0,
trees',trees',0,
e'rybody,e'rybody,1,
look'cause,look'Cause,1,
'wealthy,'Wealthy,0,
'dirty,'Dirty 'dirty,0,
wing'cause,wing'Cause,1,
not'so,not'So,0,
'ell,'Ell 'ell,1,
