lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
gard'ner,gard'ner,1.0,,1,
he'ss,he'ss hE'SS,1.0,,2,hiss
liv'st,liv'st,1.0,,1,
m'sorry,M'sorry m'sorry,1.0,,2,
s'dangerous,S'dangerous s'dangerous,1.0,,2,
i—d'you,I—d'you,1.0,,1,
doesn',doesn',1.0,,1,
m'boss,M'boss,1.0,,1,hiss
fyre',fyre',1.0,,1,
h'lo,h'lo H'lo,1.0,,2,
s'cuse,S'cuse,1.0,,1,
irl',irl',1.0,,1,
c'n,c'n C'n,1.0,,2,
y'even,Y'even y'even,1.0,,2,
one'a,one'a,1.0,,1,
'boutta,'boutta,1.0,,1,
aren't'cha,aren't'cha,1.0,,1,
air-guitar'd,air-guitar'd,1.0,,1,would
guitar'd,guitar'd,1.0,,1,would
dell'arte,dell'arte,1.0,,1,
'ssszira,'Ssszira,1.0,,1,hiss
don'tvyou,don'tvyou,1.0,,1,
m'exhausted,M'exhausted,1.0,,1,
thwump'ed,thwump'ed,1.0,,1,
's''s,'s''s,1.0,,1,
'ziraph'le,'Ziraph'le,1.0,,1,
w'happened,W'happened,1.0,,1,
e'd,e'd,1.0,,1,would
de',de',1.0,,1,
'vin,'Vin,1.0,,1,
arms're,arms're,1.0,,1,
know'st,know'st,1.0,,1,
like'st,like'st,1.0,,1,
thou'rt,thou'rt,1.0,,1,
committ'st,committ'st,1.0,,1,
y'want,Y'want y'want,1.0,,2,
y'probably,y'probably,1.0,,1,
y'got,Y'got y'got,1.0,,2,
y'okay,Y'okay,1.0,,1,
t'me,t'me,1.0,,1,
i'ma,I'ma,1.0,,1,
y'already,Y'already,1.0,,1,
y'might,Y'might,1.0,,1,
y'mind,Y'mind y'mind,1.0,,2,
lil',lil',1.0,,1,
y'wanna,Y'wanna y'wanna,1.0,,2,
prob'ly,prob'ly,1.0,,1,
y'did,Y'did y'did,1.0,,2,
s'posed,s'posed S'posed,1.0,,2,
y'gave,Y'gave,1.0,,1,
'you'd,'you'd 'You'd,1.0,,2,would
o'course,o'course O'course,1.0,,2,
n',n' N',1.0,,2,
a'fore,a'fore,1.0,,1,
b',B' b',1.0,,2,
y'gotta,y'gotta Y'gotta,1.0,,2,
y'leave,Y'leave,1.0,,1,
y'can,y'can Y'can,1.0,,2,
y'made,Y'made y'made,1.0,,2,
y'alli'm,y'allI'm,1.0,,1,
everybody'd,everybody'd,1.0,,1,would
z'it,z'it,1.0,,1,
isn',isn',1.0,,1,
s'when,s'when,1.0,,1,
'lil,'lil,1.0,,1,
'e,'e 'E,1.0,,2,
'diculous,'diculous,1.0,,1,
'now's,'now's,1.0,,1,
azi',azi',1.0,,1,
a'right,A'right a'right,1.0,,2,
micc'ed,micc'ed,1.0,,1,
s'mores,s'mores S'mores,1.0,,2,
s'it,S'it s'it,1.0,,2,
or'n,or'n,1.0,,1,
's'long,'S'long,1.0,,1,
eek',eek',1.0,,1,
he'zzz,he'zzz,1.0,,1,buzz
'r,'r 'R,1.0,,2,
i'wsh,I'wsh,1.0,,1,
'ou,'ou,1.0,,1,
that'sssssss,that'sssssss,1.0,,1,hiss
s'just,S'just s'just,1.0,,2,
m'not,M'not m'not M'Not,1.0,,3,
m'just,M'just m'just,1.0,,2,
he'zzzz,he'zzzz,1.0,,1,buzz
who'zzzz,who'zzzz,1.0,,1,buzz
that'zzzz,that'zzzz,1.0,,1,buzz
what'ssssssss,what'ssssssss,1.0,,1,hiss
zzzhe'd,zzzhe'd,1.0,,1,would buzz
'ssssssssss,'ssssssssss,1.0,,1,hiss
not'a,not'a,1.0,,1,
o'them,o'them,1.0,,1,
bowl'a,bowl'a,1.0,,1,
didn',didn',1.0,,1,
baby'd,baby'd,1.0,,1,would
dunk'd,DUNK'D,1.0,,1,would
'ello,'ello 'Ello,1.0,,2,
s'true,s'true S'true,1.0,,2,
s'mine,S'mine,1.0,,1,
big'ol,big'ol,1.0,,1,
happ'n,happ'n,1.0,,1,
someth'n,someth'n,1.0,,1,
lov'n,lov'n,1.0,,1,
would'ja,would'ja,1.0,??,1,
he'ssss,he'ssss,1.0,,1,hiss
an'mor,an'mor,1.0,,1,
bettr'n,bettr'n,1.0,,1,
t-',t-',1.0,,1,
deserv'st,deserv'st,1.0,,1,
bestow'd,bestow'd,1.0,,1,would
it'zzz,it'zzz,1.0,,1,buzz
m'awake,M'awake,1.0,,1,
here'zz,here'zz,1.0,,1,buzz
teach'm,teach'm,1.0,,1,
have'ta,have'ta,1.0,,1,
people'd,people'd,1.0,,1,would
'orgive,'orgive,1.0,,1,
how'sss,how'sss,1.0,,1,hiss
'ssss,'Ssss 'ssss,1.0,,2,hiss
th'rain,th'rain,1.0,,1,
'whily,'whily,1.0,,1,
he'ya,he'ya,1.0,,1,
watch'n,watch'n,1.0,,1,
is't,is't,1.0,,1,
it'twas,it'twas,1.0,,1,
tell'n,tell'n,1.0,,1,
noth'n,noth'n,1.0,,1,
m'safe,m'safe,1.0,,1,
s'creepy,S'creepy,1.0,,1,
'icky,'icky,1.0,,1,
f'nally,f'nally,1.0,,1,
p'rbly,p'rbly,1.0,,1,
s'my,s'my S'my,1.0,,2,
'zrp,'Zrp,1.0,??,1,
'snot,'snot 'Snot,1.0,,2,
'sgood,'Sgood,1.0,,1,
r'vayah,r'vayah,1.0,,1,
good'ol,good'ol,1.0,,1,
wouldn'ta,WOULDN'TA wouldn'ta,1.0,,2,
c',c' C',1.0,,2,
'ts,'ts,1.0,,1,
'wot,'Wot,1.0,???,1,
n'angel,n'angel,1.0,,1,
