lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
mama'zz,mama'zz,1.0,,1,buzz
m'best,M'best m'best,1.0,,2,
w'yah,w'yah,1.0,,1,
s'black,S'black,1.0,,1,
'm'sorry,'M'sorry,1.0,,1,
fr'you,fr'you,1.0,,1,
guessss'd,guessss'd,1.0,,1,would hiss
neith'r,neith'r,1.0,,1,
'sssssnot,'Sssssnot,1.0,,1,hiss
e're,e're,1.0,,1,
un'ora,un'ora,1.0,,1,
satan'z,satan'z,1.0,,1,
sick'ning,sick'ning,1.0,,1,
th'dragon,th'dragon,1.0,,1,
t'stare,t'stare,1.0,,1,
p'rate,p'rate,1.0,,1,
yeh're,yeh're,1.0,,1,
wasn'tas,wasn'tas,1.0,,1,
s'peaceful,S'peaceful,1.0,,1,
s'thinking,S'thinking,1.0,,1,
's'ides,'S'ides,1.0,,1,
'z'r'phale,'Z'r'phale,1.0,,1,
s'raphael,S'Raphael,1.0,,1,
sma',sma',1.0,,1,
ta'h,ta'h,1.0,,1,
antic'pate,antic'pate,1.0,,1,
sm'how,sm'how,1.0,,1,
m'acommidation,m'acommidation,1.0,,1,
lot'a,lot'a,1.0,,1,
s'something,s'something,1.0,,1,
s'depressing,S'depressing,1.0,,1,hiss
s'getting,s'getting,1.0,,1,
b'cause,B'cause b'cause,1.0,,2,
'marriage,'Marriage,1.0,,1,
t'one,t'one,1.0,,1,
s'none,S'none,1.0,,1,
i'v'eard,I'v'eard,1.0,,1,
older'n,older'n,1.0,,1,
s'usually,S'usually,1.0,,1,
d'hastur,d'Hastur,1.0,,1,
t'hang,t'hang,1.0,,1,
'swhat,'swhat,1.0,,1,
'nangel,'nAngel,1.0,,1,
t'pour,t'pour,1.0,,1,
'njoy,'njoy,1.0,,1,
that'szz,that'szz,1.0,,1,buzz
there'szz,there'szz,1.0,,1,buzz
ent'ya,ent'ya,1.0,,1,
m'waters,m'waters,1.0,,1,
's'it,'S'it,1.0,,1,
y'later,y'later,1.0,,1,
t'hell,T'hell,1.0,,1,
let'szzz,let'sZzz,1.0,,1,buzz
b'zzziness,b'zzziness,1.0,,1,hiss buzz
wouldnt't,wouldnt't,1.0,,1,
a'raging,a'raging,1.0,,1,
canna',canna',1.0,,1,
'lovin,'Lovin,1.0,,1,
's-seventeen,'S-Seventeen,1.0,,1,
'wh-what,'Wh-What,1.0,,1,
'courssse,'courssse,1.0,,1,hiss
there'ssss,there'ssss,1.0,,1,hiss
'ang,'Ang,1.0,,1,
where're,where're,1.0,??,1,
y'self,y'self,1.0,,1,
'zrphl,'zrphl,1.0,,1,
who'ssss,who'ssss,1.0,,1,hiss
i'mmm,I'mmm,1.0,,1,
fuck'zzz,fuck'zzz,1.0,,1,buzz
go'n,go'n,1.0,,1,
it'sszzz,it'sszzz,1.0,,1,hiss buzz
'where'sss,'where'sss,1.0,,1,hiss
'ssss'okay,'Ssss'okay,1.0,,1,hiss
shouldn'tn,shouldn'tn,1.0,,1,
'alf,'alf,1.0,,1,
holiday'd,holiday'd,1.0,,1,would
n'when,N'when,1.0,,1,
m'scared,M'scared,1.0,,1,
m'yeah,M'yeah,1.0,,1,
ow'st,ow'st,1.0,,1,
wander'st,wander'st,1.0,,1,
grow'st,grow'st,1.0,,1,
heaven'd,heaven'd,1.0,,1,would
'arder,'arder,1.0,,1,
g'norme,g'norme,1.0,,1,
thwump',thwump',1.0,,1,
„it'sss,„it'sss,1.0,,1,hiss
arf'arf'an'arf,arf'arf'an'arf,1.0,,1,
of'em,of'em,1.0,,1,
d'yavol,d'yavol,1.0,,1,
m'in,M'in,1.0,,1,
'sssssuspicious,'sssssuspicious,1.0,,1,hiss
ssstuff',ssstuff',1.0,,1,hiss
in'splicable,in'splicable,1.0,,1,
n'more,n'more N'more,1.0,,2,
people're,people're,1.0,,1,
'yesss,'YesSs,1.0,,1,hiss
'y-yeah,'Y-yeah,1.0,,1,
insssane',insSsane',1.0,,1,hiss
'nononono,'Nononono,1.0,,1,
'wh,'Wh,1.0,,1,
a--angel--',a--angel--',1.0,,1,
'wha,'Wha,1.0,,1,
t'celebrate,t'celebrate,1.0,,1,
fleet'st,fleet'st,1.0,,1,
s'waiting,S'waiting,1.0,,1,
was'a,was'a,1.0,,1,
'cauzze,'cauzze 'Cauzze,1.0,,2,buzz
there'ss,there'ss,1.0,,1,hiss
they'de,they'de,1.0,,1,
'bah,'bah,1.0,,1,
xx',xx',1.0,,1,
m'what,M'what,1.0,,1,
'coo-eee,'Coo-eee,1.0,,1,
g',G',1.0,,1,
ngk',ngk',1.0,,1,
'aiight,'Aiight,1.0,,1,
b'tray,b'tray,1.0,,1,
cus',cus',1.0,,1,
tis',tis',1.0,,1,
w-what'd,w-what'd,1.0,,1,would
what'zzz,what'zzz,1.0,,1,buzz
where'm,where'm,1.0,,1,
s'pected,s'pected,1.0,,1,
hav'you,hav'you,1.0,,1,
com'ndation,com'ndation,1.0,,1,
las',las',1.0,,1,
did'n,did'n,1.0,,1,
b'lieve,b'lieve,1.0,,1,
y'ello,Y'ello,1.0,,1,
war'sss,war'sss,1.0,,1,hiss
seei'm,seeI'm,1.0,,1,
hmm'ing,hmm'ing,1.0,,1,
'umm'ing,'umm'ing,1.0,,1,
’s'not,’S'not,1.0,,1,
’s'you,’S'you,1.0,,1,
f'nish,f'nish,1.0,,1,
trav'lin's,trav'lin's,1.0,,1,
arri'e,arri'e,1.0,,1,
poi't,poi't,1.0,,1,
say'to,say'to,1.0,,1,
p'jmas,P'jmas,1.0,,1,
m'embrasser,m'embrasser,1.0,,1,hiss
dis',dis',1.0,,1,
h'm,H'm,1.0,,1,
b'g,B'g b'g,1.0,,2,
leffff',leffff',1.0,,1,
'nything,'nything,1.0,,1,
s'soapstone,S'soapstone,1.0,,1,
oi'm,oI'm,1.0,,1,
fucken',fucken',1.0,,1,
ov'rlooking,ov'rlooking,1.0,,1,
alr'ght,alr'ght,1.0,,1,
dang'rous,dang'rous,1.0,,1,
s'thought,S'thought,1.0,,1,
wand'rest,wand'rest,1.0,,1,
m'birthday,m'birthday,1.0,,1,
s'possible,s'possible,1.0,,1,hiss
wiv',wiv',1.0,,1,
ev'rybody,ev'rybody,1.0,,1,
s'really,S'really,1.0,,1,
sp'ose,sp'ose,1.0,,1,
b'fore,b'fore,1.0,,1,
b'ssidess,B'ssidess,1.0,,1,hiss
everyone'ss,everyone'ss,1.0,,1,hiss
hell'ss,hell'ss,1.0,,1,hiss
m'great,M'great,1.0,,1,
e'e,e'e,1.0,,1,
'ss-sssss-sssssziraphale,'Ss-sssss-sssssziraphale,1.0,,1,hiss
m'leaning,M'leaning,1.0,,1,
'it’d,'It’d,1.0,,1,
s'enough,S'enough,1.0,,1,
tenon'd,tenon'd,1.0,,1,would
mortis'd,mortis'd,1.0,,1,would
ast'd,ast'd,1.0,,1,would
ast'ed,ast'ed,1.0,,1,
whadd'you,whadd'you,1.0,,1,
d-'',d-'',1.0,,1,
ordersssss-'',ordersssss-'',1.0,,1,hiss
coudn't-'',coudn't-'',1.0,,1,
's'rubbery,'S'rubbery,1.0,,1,
s'perfect,S'perfect,1.0,,1,
off'a,off'a,1.0,,1,
s'prised,S'prised s'prised,1.0,,2,
m'allowed,M'allowed,1.0,,1,
d'ath,D'Ath,1.0,,1,
way—they'd,way—they'd,1.0,,1,would
angel'zzzz,angel'zzzz,1.0,,1,buzz
when'zz,when'zz,1.0,,1,buzz
i'mworriedi'mgoingtomessthingsup,I'mworriedI'mgoingtomessthingsup,1.0,,1,hiss
'tween,'tween,1.0,,1,
you'd-we'd,you'd-we'd,1.0,,1,would
😘beelzebub's,😘Beelzebub's,1.0,,1,
thro',thro',1.0,,1,
lo'e,lo'e,1.0,,1,
s'boring,s'boring,1.0,,1,
f'anything,F'anything,1.0,,1,
s'just-you,s'just-you,1.0,,1,
sss'all,sss'all,1.0,,1,hiss
where'ss,where'ss,1.0,,1,hiss
compl'cated,compl'cated,1.0,,1,
zzzatan'zz,ZZZatan'zz,1.0,,1,buzz
'ziraphel,'Ziraphel 'ziraphel,1.0,,2,
til',til',1.0,,1,
loverboywhat're,loverboyWhat're,1.0,,1,
after-alli'd,after-allI'd,1.0,,1,would
s'communism,s'communism,1.0,,1,
aren'chya,aren'chya,1.0,,1,
'z-'zirah,'Z-'Zirah,1.0,,1,
y-you'd,y-you'd,1.0,,1,would
f'today,f'today,1.0,,1,
'ssssee,'ssssee,1.0,,1,hiss
s'tickety,S'tickety,1.0,,1,
i'd’ve,I'd’ve,1.0,,1,
g'tting,g'tting,1.0,,1,
id'd,ID'd,1.0,,1,would
'thossse,'Thossse,1.0,,1,hiss
'doesss,'Doesss,1.0,,1,hiss
'yess,'Yess,1.0,,1,hiss
'azziraphale,'Azziraphale,1.0,,1,buzz
stoking'ed,stoking'ed,1.0,,1,
m'angel,M'angel,1.0,,1,
o're,O're,1.0,,1,
v',V' v',1.0,,2,
y'draw,y'draw,1.0,,1,
unbeta'd,unbeta'd,1.0,,1,would
'nk,'nk,1.0,,1,
d'alessandria,d'Alessandria,1.0,,1,hiss
s'zira,S'Zira,1.0,,1,
'sbloody,'sbloody,1.0,,1,
it'sa,it'sa,1.0,,1,
o'crawley,O'Crawley,1.0,,1,
m'm,M'm,1.0,,1,
m'hm,M'hm,1.0,,1,
'sssssssss,'Sssssssss,1.0,,1,hiss
shitahitshitshit',shitahitshitshit',1.0,,1,
n'body,N'body,1.0,,1,
understan-'',understan-'',1.0,,1,
t'recover,t'recover,1.0,,1,
t'ss,t'ss,1.0,,1,hiss
ta'ala,ta'ala,1.0,,1,
neve',neve',1.0,,1,
sof-',sof-',1.0,,1,
al-',al-',1.0,,1,
'ssssory,'Ssssory,1.0,,1,hiss
layou're,laYou're,1.0,,1,
m'boat,m'boat,1.0,,1,
s'hard,S'hard s'hard,1.0,,2,
'sss—too,'Sss—too,1.0,,1,hiss
y'love,y'love,1.0,,1,
hed',hed',1.0,,1,
y'ssay,y'ssay,1.0,,1,hiss
'nfortunately,'nfortunately,1.0,,1,
g'd,G'd g'd,1.0,,2,would
happ'nin,happ'nin,1.0,,1,
c'monnnn,C'monnnn,1.0,,1,
hand't,hand't,1.0,,1,
m'dying,M'dying,1.0,,1,
rep'err'twaree,rep'err'twaree,1.0,,1,
n'that,n'that,1.0,,1,
m'baku,M'Baku,1.0,,1,
t'challa,T'Challa,1.0,,1,
t'challa's,T'Challa's,1.0,,1,
the-how'd,the-how'd,1.0,,1,would
had't,had't,1.0,,1,
angel'zz,angel'zz,1.0,,1,buzz
demon'zz,demon'zz,1.0,,1,buzz
'snothing,'snothing,1.0,,1,
t'hy'la,t'hy'la T'hy'la,1.0,,2,
'arry,'arry,1.0,,1,
'k,'k 'K,1.0,,2,
'sswrong,'Sswrong,1.0,,1,hiss
y'all--this,y'all--this,1.0,,1,
like--jus',like--jus',1.0,,1,
'eaven,'eaven,1.0,,1,
mglw'nafh,mglw'nafh,1.0,,1,
r'lyeh,R'lyeh,1.0,,1,
wgah'nagl,wgah'nagl,1.0,,1,
'sjust,'Sjust,1.0,,1,
t'ronno,T'ronno,1.0,,1,
many'd,many'd,1.0,,1,would
m'sure,M'sure,1.0,,1,
t'soul-name,T'soul-name,1.0,,1,
s'what's,S'what's,1.0,,1,
w'man,w'man,1.0,,1,
s'born,s'born,1.0,,1,
t'dangly,t'dangly,1.0,,1,
t'wrong,t'wrong,1.0,,1,
she'sss,she'sss,1.0,,1,hiss
she'ssss,she'ssss,1.0,,1,hiss
t'name,t'name,1.0,,1,
m'probably,M'probably,1.0,,1,
x',x',1.0,,1,
'mmmmh'ed,'Mmmmh'ed,1.0,,1,
y'always,Y'always,1.0,,1,
jussss'—gimme,jussss'—gimme,1.0,,1,hiss
t'pick,t'pick,1.0,,1,
'm'okay,'M'okay,1.0,,1,
don'—don',don'—don',1.0,,1,
t'just,t'just,1.0,,1,
t'deal,t'deal,1.0,,1,
that's—ha,that's—ha,1.0,,1,
'caussse,'caussse,1.0,,1,hiss
mother'd,mother'd,1.0,,1,would
cleaning'd,cleaning'd,1.0,,1,would
'awwww,'Awwww,1.0,??,1,
aloneeeee',aloneeeee',1.0,??,1,
s'course,s'course,1.0,,1,
d'worry,D'worry,1.0,,1,
'd'like,'d'like,1.0,,1,
must'a,must'a,1.0,,1,
ter'ble,ter'ble,1.0,,1,
hor'ble,hor'ble,1.0,,1,
might'a,might'a,1.0,,1,
's'fine,'S'fine,1.0,,1,
’t',’t',1.0,,1,
low'ring,low'ring,1.0,,1,
dispriz'd,dispriz'd,1.0,,1,would
an-an',an-an',1.0,,1,
a-a-an',a-a-an',1.0,,1,
'emselves,'emselves,1.0,,1,
l'ivresse,L'ivresse,1.0,,1,hiss
'coz,'coz,1.0,,1,
most'd,most'd,1.0,,1,would
ah'm,ah'm,1.0,,1,
gi',gi',1.0,,1,
'ers,'ers,1.0,,1,
'aand,'Aand,1.0,??,1,
m'wife,m'wife,1.0,,1,
's'right,'S'right,1.0,,1,
y'done,y'done,1.0,,1,
dis'pointed,dis'pointed,1.0,,1,
c'mplicated,c'mplicated,1.0,,1,
'ncourage,'ncourage,1.0,,1,
let'sss,let'sss,1.0,,1,hiss
'm'n'ngel,'M'n'ngel,1.0,,1,
'nbelievable,'Nbelievable,1.0,,1,
y'feel,Y'feel,1.0,,1,
y'fell,y'fell,1.0,,1,
l'heure,l'heure,1.0,,1,
d'mon,D'Mon d'mon,1.0,,2,
d'mon's,D'Mon's D'mon's,1.0,,2,
gon',gon',1.0,,1,
'a'ole,'a'ole,1.0,,1,
ia'u,ia'u,1.0,,1,
ko'u,ko'u,1.0,,1,
'ōlelo,'ōlelo,1.0,,1,
'oe,'oe,1.0,,1,
smoke-'em-if-you-got-'em,smoke-'em-if-you-got-'em,1.0,,1,
m'plenty,M'plenty,1.0,,1,
ge',ge',1.0,,1,
wa'er,wa'er,1.0,,1,
seve',seve',1.0,,1,
ho'y,ho'y,1.0,,1,
wate',wate',1.0,,1,
yi're,yi're,1.0,,1,
t'at,t'at,1.0,,1,
powers're,powers're,1.0,,1,
'n'accident,'n'accident,1.0,,1,
s'meant,S'meant,1.0,,1,
wh're,wh're,1.0,,1,
int',int',1.0,,1,
but—y'know,but—y'know,1.0,,1,
together—there'd,together—there'd,1.0,,1,would
really—it's,really—it's,1.0,,1,
failsafe's',failsafe's',1.0,,1,
'dud,'dud,1.0,,1,
will-o'-the-wisp,will-o'-the-wisp,1.0,,1,
'eugh,'eugh,1.0,,1,
will-o'-the,will-o'-the,1.0,,1,
everyone'sss,everyone'sss,1.0,,1,hiss
the're,the're,1.0,,1,
m'a'demon,m'a'demon,1.0,,1,
i'm-sooooo-straight-look-at-this-gay-hating-bible-that-i-had-translated-because-i'm-super-straight-the-way-that-i-never-married-and-fucked-dudes-my-whoooooole-life,I'm-SOOOOO-Straight-Look-At-This-Gay-Hating-Bible-That-I-Had-Translated-Because-I'm-Super-Straight-The-Way-That-I-Never-Married-And-Fucked-Dudes-My-WHOOOOOOLE-Life,1.0,,1,
'ovles,'ovles,1.0,,1,
'rf,'rf,1.0,,1,
i'msss,I'msss,1.0,,1,hiss
i'mz,I'mz,1.0,,1,
you'z,you'z,1.0,,1,
at'z,at'z,1.0,,1,
don'tss,don'tss,1.0,,1,hiss
'nein's,'nein's,1.0,,1,
r'member,R'member r'member,1.0,,2,
m'angel's,M'angel's,1.0,,1,
should't,should't,1.0,,1,
s'wet,S'wet,1.0,,1,
m'pretty,m'pretty,1.0,,1,
t'covens,t'covens,1.0,,1,
y'know--just,y'know--just,1.0,,1,
you'd’ve,you'd’ve,1.0,,1,
you'n,you'n,1.0,,1,
e'vrything,e'vrything,1.0,,1,
n'ything,n'ything,1.0,,1,
o'l,O'l,1.0,,1,
messeng'r,messeng'r,1.0,,1,hiss
w'rds,w'rds,1.0,,1,
m'orning,M'orning,1.0,,1,
n'other,n'other,1.0,,1,
s'rpent,s'rpent,1.0,,1,
fin'r,fin'r,1.0,,1,
get'n,get'n,1.0,,1,
e'nythin,e'nythin,1.0,,1,
s'methin,s'methin,1.0,,1,
's'whot,'S'whot,1.0,,1,
s'whot,S'whot,1.0,,1,
n'thin,N'thin,1.0,,1,
e'vrythin,e'vrythin,1.0,,1,
n'sufferable,N'sufferable,1.0,,1,
do'n,do'n,1.0,,1,
thi'n,thi'n,1.0,,1,
a'lot,a'lot,1.0,,1,
somenath'n,somenath'n,1.0,,1,
hav'n,hav'n,1.0,,1,
gu'night,gu'night,1.0,,1,
go'night,go'night,1.0,,1,
burn'n,burn'n,1.0,,1,
got'n,got'n,1.0,,1,
enjoy'n,enjoy'n,1.0,,1,
w'never,W'never,1.0,,1,
was'et,was'et,1.0,,1,
e'rythi'n,e'rythi'n,1.0,,1,
s'meth'n,s'meth'n,1.0,,1,
nuth'n,nuth'n,1.0,,1,
th'n,th'n,1.0,,1,
o'right,o'right,1.0,,1,
n'uth'n,N'uth'n,1.0,,1,
m'no,m'no,1.0,,1,
use'em,use'em,1.0,,1,
'slike,'Slike 'slike,1.0,,2,
'sbeautiful,'Sbeautiful,1.0,,1,
ynaeg'l,ynaeg'l,1.0,,1,
don'go,don'go,1.0,,1,
m'telling,M'telling,1.0,,1,
s'called,S'called,1.0,,1,
t'little,t'Little t'little,1.0,,2,
h'nkdt,H'nkdt,1.0,,1,
'zir'phale,'Zir'phale,1.0,,1,
'tisn’t,'Tisn’t,1.0,,1,
l'chaim,L'chaim,1.0,,1,
g'way,G'way,1.0,,1,
o'er-green,o'er-green,1.0,,1,
mask'd,mask'd,1.0,,1,would
'kkey,'Kkey,1.0,,1,
'ppff,'Ppff,1.0,,1,
'bullockzz,'Bullockzz,1.0,,1,buzz
'wwank,'Wwank,1.0,,1,
t'morrow's,t'morrow's,1.0,,1,
'sallright,'Sallright,1.0,,1,
ev'rythinss,ev'rythinss,1.0,,1,hiss
's'more,'s'more,1.0,,1,
k'tsh,K'tsh,1.0,,1,
h'knxdt,H'knxdt,1.0,,1,
plac''s,plac''s,1.0,,1,
clos'd,clos'd,1.0,,1,would
get'im,get'im,1.0,,1,
u',u',1.0,,1,
xxx',XXX',1.0,,1,
z',z',1.0,,1,
d'he,d'he,1.0,,1,
's-s-s'alright,'S-s-s'alright,1.0,,1,
s'soppy,S'soppy,1.0,,1,
m'work's,m'work's,1.0,,1,
d'we,D'we,1.0,,1,
ha'd,ha'd,1.0,??,1,would
cound't,cound't,1.0,,1,
'scomplicated,'Scomplicated,1.0,,1,
d'oyly,D'Oyly,1.0,,1,
it'ssssss,it'ssssss,1.0,,1,hiss
fuc',fuc',1.0,,1,
weren',weren',1.0,,1,
bist'n,bist'n,1.0,,1,
j'm'en,J'm'en,1.0,,1,
g'on,G'on,1.0,,1,
beta'ing,beta'ing,1.0,,1,
w'us,W'us,1.0,,1,
goth',goth',1.0,,1,
m'thinkin,m'thinkin,1.0,,1,
ol'fashioned,ol'fashioned,1.0,,1,
try'n,try'n,1.0,,1,
m'leg,m'leg,1.0,,1,
auras',auras',1.0,,1,
'sawful,'Sawful,1.0,,1,
ak'varleah,ak'varleah,1.0,,1,
s'fuckin,S'fuckin,1.0,,1,
s'wonderful,S'wonderful,1.0,,1,
rules—they'd,rules—they'd,1.0,,1,would
fine—he'd,fine—he'd,1.0,,1,would
can'thhh,can'thhh,1.0,,1,
wassssn'thhhh,WASSSSN'THHHH,1.0,,1,hiss
'nothhhh,'Nothhhh,1.0,,1,
d'truth,d'truth,1.0,,1,
ende',ende',1.0,,1,
'frid,'frid,1.0,,1,
mor'ing,mor'ing,1.0,,1,
some'ing,some'ing,1.0,,1,
'voodoo,'Voodoo,1.0,,1,
go'ing,go'ing,1.0,,1,
heaven'sss,heaven'sss,1.0,,1,hiss
who'sss,who'sss,1.0,,1,hiss
al'thor,al'Thor,1.0,,1,
'ther,'ther,1.0,,1,
d-dont',d-dont',1.0,,1,
t'were,t'were,1.0,,1,
want'cha,want'cha,1.0,,1,
o'five,O'five,1.0,,1,
o'eight,o'eight,1.0,,1,
things'd,things'd,1.0,,1,would
wif',wif',1.0,,1,
ev'rywhere,ev'rywhere,1.0,,1,
don'y,don'y,1.0,,1,
th'dark,th'dark,1.0,,1,
s'never,S'never,1.0,,1,
m'too,M'too m'too,1.0,,2,
all-he'd,all-he'd,1.0,,1,would
trees-he'd,trees-he'd,1.0,,1,would
'theres,'theres,1.0,,1,
n'erg,N'erg,1.0,,1,
n'all,n'all,1.0,,1,
er'rything,er'rything,1.0,,1,
t'all,t'all,1.0,,1,
un'erstood,un'erstood,1.0,,1,
w'diamonds,w'diamonds,1.0,,1,
probl'm,probl'm,1.0,,1,
w'rings,w'rings,1.0,,1,
diamonds're,diamonds're,1.0,,1,
pu',pu',1.0,,1,
th'same,th'same,1.0,,1,
d'serve,d'serve,1.0,,1,
th'whole,th'whole,1.0,,1,
sum'n,sum'n,1.0,,1,
nope'geddeon,nope'geddeon,1.0,,1,
'whywhywhywhywhywhywhy,'WhywhywhywhyWhyWhyWhy,1.0,,1,
didn'cha,didn'cha,1.0,,1,
wan'a,wan'a,1.0,,1,
ou',ou',1.0,,1,
u'cle,u'cle,1.0,,1,
jiffy',jiffy',1.0,,1,
graffiti'd,graffiti'd,1.0,,1,would
lass',lass',1.0,,1,hiss
'ear,'ear,1.0,,1,
done't,done't,1.0,,1,
'hasta,'Hasta,1.0,,1,
playen',playen',1.0,,1,
o'seconds,o'seconds,1.0,,1,
s'nobody,S'nobody,1.0,,1,
will-o'-the-wisps,will-o'-the-wisps,1.0,,1,
of—y'know,of—y'know,1.0,,1,
s'worth,S'worth,1.0,,1,
café'd,café'd,1.0,,1,would
'p,'p,1.0,,1,
would'nae,would'nae,1.0,,1,
fra',fra',1.0,,1,
distance—newt's,distance—Newt's,1.0,,1,
i'm—erm,I'm—erm,1.0,,1,
'hullo,'Hullo,1.0,,1,
bo'otik,bo'otik,1.0,,1,
'armageddon,'Armageddon 'armageddon,1.0,,2,
'preciate,'preciate,1.0,,1,
would't,would't,1.0,,1,
wren's-breath,wren's-breath,1.0,,1,
over--it'd,over--it'd,1.0,,1,would
w'ot's,W'ot's,1.0,,1,
w'ot,W'ot,1.0,,1,
happ'ned,happ'ned,1.0,,1,
guv'nah,guv'nah,1.0,,1,
h'rath,H'rath,1.0,,1,
h'rath's,H'rath's,1.0,,1,
s'yrthghar,S'yrthghar,1.0,,1,
n'yrthnookah,N'yrthnookah,1.0,,1,
n'rythghar,N'rythghar,1.0,,1,
would'a,would'a,1.0,,1,
's'pose,'S'pose,1.0,,1,
na'eh,na'eh,1.0,,1,
leshabe'ah,leshabe'ah,1.0,,1,
nezabe'ah,nezabe'ah,1.0,,1,
matbe'ah,matbe'ah,1.0,,1,
hamnabe'ah,hamnabe'ah,1.0,,1,
hamizbe'ah,hamizbe'ah,1.0,,1,
earlier-she'd,earlier-she'd,1.0,,1,would
shouldn't-nnm-toy,shouldn't-nnm-toy,1.0,,1,
y'ssee,Y'ssee,1.0,,1,hiss
'm'a,'m'a,1.0,,1,
k'so,K'so,1.0,,1,
le'ss,le'ss,1.0,,1,hiss
y'will,Y'will,1.0,,1,
really--he'd,really--he'd,1.0,,1,would
alonei'd,aloneI'd,1.0,??,1,would
d'y'think,d'y'think,1.0,,1,
me'cause,me'Cause,1.0,,1,
knowi'm,knowI'm,1.0,,1,
hearti'm,heartI'm,1.0,,1,
falli'm,fallI'm,1.0,,1,
waitin'for,waitin'For,1.0,,1,
bleedin'but,bleedin'But,1.0,,1,
'emgot,'emGot,1.0,,1,
m'warm,M'warm,1.0,,1,
y'please,y'please,1.0,,1,
conqu'ring,conqu'ring,1.0,,1,
'halo,'Halo,1.0,,1,
y'all're,Y'all're,1.0,,1,
alil',alil',1.0,,1,
goo',goo',1.0,,1,
b't's'prised,b't's'prised,1.0,,1,
o'the,o'the,1.0,,1,
aroun',aroun',1.0,,1,
zwe're,ZWe're,1.0,,1,
'ziraphle,'ziraphle,1.0,,1,
e'rything,e'rything,1.0,,1,
his—aziraphale's—er,his—Aziraphale's—er,1.0,,1,
she'ela,she'ela,1.0,,1,
y'miss,y'miss,1.0,,1,hiss
'n'so,'n'so,1.0,,1,
'l'right,'l'right,1.0,,1,
s'rude,S'rude,1.0,,1,
t'kitchen,t'kitchen,1.0,,1,
t'another,T'another,1.0,,1,
t'birthday,t'birthday,1.0,,1,
t'helliehound,t'helliehound,1.0,,1,
t'gether,t'gether,1.0,,1,
'merica,'merica,1.0,,1,
t'pilgrims,t'pilgrims,1.0,,1,
t'native,t'native,1.0,,1,
'mericansss,'mericansss,1.0,,1,hiss
m'grateful,M'grateful,1.0,,1,
h'know,h'know,1.0,,1,
s'unfair,S'unfair,1.0,,1,
right'n'front,right'n'front,1.0,,1,
diff'rent,diff'rent,1.0,,1,
m'crowley,M'Crowley,1.0,,1,
s'because,S'because,1.0,,1,
needn't-t-t,needn't-t-t,1.0,,1,
y'doubting,Y'doubting,1.0,,1,
t'prove,t'prove,1.0,,1,
m'honour,m'honour,1.0,,1,
you're'n,you're'n,1.0,,1,
d'served,d'served,1.0,,1,
t'last,t'last,1.0,,1,
kid'y'not,kid'y'not,1.0,,1,
t'whole,t'whole,1.0,,1,
t'damn,t'damn,1.0,,1,
'ctually,'ctually,1.0,,1,
y'bassstard,y'bassstard,1.0,,1,hiss
got't,got't,1.0,,1,
m'glad,M'glad,1.0,,1,
me'n'him,me'n'him,1.0,,1,
s'head,S'Head,1.0,,1,
m'worried,m'worried,1.0,,1,
m'adam,M'Adam,1.0,,1,
m'your,M'your,1.0,,1,
tug-o'-war,tug-o'-war,1.0,,1,
y'hear,y'hear,1.0,,1,
h-',h-',1.0,,1,
c-',c-',1.0,,1,
m'back,M'back,1.0,,1,
ta'en,ta'en,1.0,,1,
know--s'pose,know--s'pose,1.0,,1,
wasn'e,wasn'e,1.0,,1,
err'body,err'body,1.0,,1,
'sgone,'Sgone,1.0,,1,
f'fuck's,F'fuck's,1.0,,1,
s'up,S'up,1.0,,1,
c'm'ere,C'm'ere,1.0,,1,
'zirahale,'Zirahale,1.0,,1,
hungr'ly,hungr'ly,1.0,,1,
oft',oft',1.0,,1,
s'whatever,s'whatever,1.0,,1,
'nless,'nless 'Nless,1.0,,2,hiss
'kee-kee-keeeeeeee,'Kee-kee-keeeeeeee,1.0,,1,
dinnit',dinnit',1.0,,1,
differn',differn',1.0,,1,
ment',ment',1.0,,1,
tim',tim',1.0,,1,
ins',ins',1.0,,1,
'ard,'ard,1.0,,1,
thar',thar',1.0,,1,
'twood,'twood,1.0,,1,
cannit',cannit',1.0,,1,
'whaaaat,'Whaaaat,1.0,,1,
nayther',nayther',1.0,,1,
'urry,'urry,1.0,,1,
'afore,'afore,1.0,,1,
fer',fer',1.0,,1,
te',te',1.0,,1,
ehn',ehn',1.0,,1,
fer'ever',fer'ever',1.0,,1,
wouldn',wouldn',1.0,,1,
mightn',mightn',1.0,,1,
'tsk,'tsk,1.0,,1,
tsk',tsk',1.0,,1,
think'st,think'st,1.0,,1,
evil-but-not-quite-so-evil-so's-you'd-notice-it-really,evil-but-not-quite-so-evil-so's-you'd-notice-it-really,1.0,,1,
'orseman,'orseman,1.0,,1,
y'keep,y'keep Y'keep,1.0,,2,
n'why,N'why,1.0,,1,
sic'ing,sic'ing,1.0,,1,
one'f,one'f,1.0,,1,
's'like,'S'like,1.0,,1,
's'emergency,'s'emergency,1.0,,1,
'syour,'Syour,1.0,,1,
'sssspecially,'Sssspecially,1.0,,1,hiss
beyon',beyon',1.0,,1,
hahbur'n,hahbur'n,1.0,,1,
life'd,life'd,1.0,,1,would
hands're,hands're,1.0,,1,
y'knooow,y'knooow,1.0,,1,
em're,em're,1.0,,1,
'sss’awful,'Sss’awful,1.0,,1,hiss
'xpect,'xpect,1.0,,1,
